CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100),Cluster,Customer Type
93,Male,48,60,49,2,"Average Income, Average Spending"
94,Female,40,60,40,2,"Average Income, Average Spending"
95,Female,32,60,42,2,"Average Income, Average Spending"
96,Male,24,60,52,2,"Average Income, Average Spending"
97,Female,47,60,47,2,"Average Income, Average Spending"
98,Female,27,60,50,2,"Average Income, Average Spending"
99,Male,48,61,42,2,"Average Income, Average Spending"
100,Male,20,61,49,2,"Average Income, Average Spending"
101,Female,23,62,41,2,"Average Income, Average Spending"
102,Female,49,62,48,2,"Average Income, Average Spending"
103,Male,67,62,59,2,"Average Income, Average Spending"
104,Male,26,62,55,2,"Average Income, Average Spending"
105,Male,49,62,56,2,"Average Income, Average Spending"
106,Female,21,62,42,2,"Average Income, Average Spending"
107,Female,66,63,50,2,"Average Income, Average Spending"
108,Male,54,63,46,2,"Average Income, Average Spending"
109,Male,68,63,43,2,"Average Income, Average Spending"
110,Male,66,63,48,2,"Average Income, Average Spending"
111,Male,65,63,52,2,"Average Income, Average Spending"
112,Female,19,63,54,2,"Average Income, Average Spending"
113,Female,38,64,42,2,"Average Income, Average Spending"
114,Male,19,64,46,2,"Average Income, Average Spending"
115,Female,18,65,48,2,"Average Income, Average Spending"
116,Female,19,65,50,2,"Average Income, Average Spending"
117,Female,63,65,43,2,"Average Income, Average Spending"
118,Female,49,65,59,2,"Average Income, Average Spending"
119,Female,51,67,43,2,"Average Income, Average Spending"
120,Female,50,67,57,2,"Average Income, Average Spending"
121,Male,27,67,56,2,"Average Income, Average Spending"
122,Female,38,67,40,2,"Average Income, Average Spending"
123,Female,40,69,58,2,"Average Income, Average Spending"
124,Male,39,69,91,3,"High Income, High Spending"
125,Female,23,70,29,2,"Average Income, Average Spending"
126,Female,31,70,77,3,"High Income, High Spending"
127,Male,43,71,35,2,"Average Income, Average Spending"
128,Male,40,71,95,3,"High Income, High Spending"
129,Male,59,71,11,1,"High Income, Low Spending"
130,Male,38,71,75,3,"High Income, High Spending"
131,Male,47,71,9,1,"High Income, Low Spending"
132,Male,39,71,75,3,"High Income, High Spending"
133,Female,25,72,34,2,"Average Income, Average Spending"
134,Female,31,72,71,3,"High Income, High Spending"
135,Male,20,73,5,1,"High Income, Low Spending"
136,Female,29,73,88,3,"High Income, High Spending"
137,Female,44,73,7,1,"High Income, Low Spending"
138,Male,32,73,73,3,"High Income, High Spending"
139,Male,19,74,10,1,"High Income, Low Spending"
140,Female,35,74,72,3,"High Income, High Spending"
141,Female,57,75,5,1,"High Income, Low Spending"
142,Male,32,75,93,3,"High Income, High Spending"
143,Female,28,76,40,2,"Average Income, Average Spending"
144,Female,32,76,87,3,"High Income, High Spending"
145,Male,25,77,12,1,"High Income, Low Spending"
146,Male,28,77,97,3,"High Income, High Spending"
147,Male,48,77,36,2,"Average Income, Average Spending"
148,Female,32,77,74,3,"High Income, High Spending"
149,Female,34,78,22,1,"High Income, Low Spending"
150,Male,34,78,90,3,"High Income, High Spending"
151,Male,43,78,17,1,"High Income, Low Spending"
152,Male,39,78,88,3,"High Income, High Spending"
153,Female,44,78,20,1,"High Income, Low Spending"
154,Female,38,78,76,3,"High Income, High Spending"
155,Female,47,78,16,1,"High Income, Low Spending"
156,Female,27,78,89,3,"High Income, High Spending"
157,Male,37,78,1,1,"High Income, Low Spending"
158,Female,30,78,78,3,"High Income, High Spending"
159,Male,34,78,1,1,"High Income, Low Spending"
160,Female,30,78,73,3,"High Income, High Spending"
161,Female,56,79,35,2,"Average Income, Average Spending"
162,Female,29,79,83,3,"High Income, High Spending"
163,Male,19,81,5,1,"High Income, Low Spending"
164,Female,31,81,93,3,"High Income, High Spending"
165,Male,50,85,26,1,"High Income, Low Spending"
166,Female,36,85,75,3,"High Income, High Spending"
167,Male,42,86,20,1,"High Income, Low Spending"
168,Female,33,86,95,3,"High Income, High Spending"
169,Female,36,87,27,1,"High Income, Low Spending"
170,Male,32,87,63,3,"High Income, High Spending"
171,Male,40,87,13,1,"High Income, Low Spending"
172,Male,28,87,75,3,"High Income, High Spending"
173,Male,36,87,10,1,"High Income, Low Spending"
174,Male,36,87,92,3,"High Income, High Spending"
175,Female,52,88,13,1,"High Income, Low Spending"
176,Female,30,88,86,3,"High Income, High Spending"
177,Male,58,88,15,1,"High Income, Low Spending"
178,Male,27,88,69,3,"High Income, High Spending"
179,Male,59,93,14,1,"High Income, Low Spending"
180,Male,35,93,90,3,"High Income, High Spending"
181,Female,37,97,32,1,"High Income, Low Spending"
182,Female,32,97,86,3,"High Income, High Spending"
183,Male,46,98,15,1,"High Income, Low Spending"
184,Female,29,98,88,3,"High Income, High Spending"
185,Female,41,99,39,1,"High Income, Low Spending"
186,Male,30,99,97,3,"High Income, High Spending"
187,Female,54,101,24,1,"High Income, Low Spending"
188,Male,28,101,68,3,"High Income, High Spending"
189,Female,41,103,17,1,"High Income, Low Spending"
190,Female,36,103,85,3,"High Income, High Spending"
191,Female,34,103,23,1,"High Income, Low Spending"
192,Female,32,103,69,3,"High Income, High Spending"
193,Male,33,113,8,1,"High Income, Low Spending"
194,Female,38,113,91,3,"High Income, High Spending"
195,Female,47,120,16,1,"High Income, Low Spending"
196,Female,35,120,79,3,"High Income, High Spending"
197,Female,45,126,28,1,"High Income, Low Spending"
198,Male,32,126,74,3,"High Income, High Spending"
199,Male,32,137,18,1,"High Income, Low Spending"
200,Male,30,137,83,3,"High Income, High Spending"
